wav_path	text	src_path
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00000.wav	수요일 안내문을 확인하겠습니다	/nas03/data_audio/135.명령어_인식을_위한_소음_환경_데이터/Training/01.원천데이터/TS_01.다화자_소음_환경_003.가정환경_02.근거리/B-M2642M-M-t03dC-NUNU-M231263-N.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00001.wav	치즈도 없어졌어요	/nas03/data_audio/003.자유대화 음성(소아, 유아)/Training/[원천]01.AI챗봇_3/소아남여_소아남여05_M_1564933972-0_3_수도권_실내/소아남여_소아남여05_M_1564933972-0_3_수도권_실내_58323.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00002.wav	홍길동 선수 선발 맞아요	/nas03/data_audio/135.명령어_인식을_위한_소음_환경_데이터/Training/01.원천데이터/TS_02.차량_소음_환경_007.멀티미디어-방송_01.저속/B-C0454F-C-NULNU-s0mR-C321344-N.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00003.wav	어떻게 특별한 방법이 있어	/nas03/data_audio/001.자유대화 음성(일반남여)/Training/[원천]2.음성수집도구_2/일반남여_일반통합09_F_yhi7588_25_기타_실내/일반남여_일반통합09_F_yhi7588_25_기타_실내_13750.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00004.wav	몰라 말을 안 하는데 어떻게 알아	/nas03/data_audio/035.방송콘텐츠_한국어-아시아어_통·번역_음성_데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_out/L01_L06/C01/C01092/U0712857.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00005.wav	속상해 죽겠어	/nas03/data_audio/001.자유대화 음성(일반남여)/Training/[원천]2.음성수집도구_1/일반남여_일반통합05_M_abangad_44_수도권_실내/일반남여_일반통합05_M_abangad_44_수도권_실내_06313.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00006.wav	이정재 씨에게 가장 잘 어울리는 여배우가 누구였습니까	/nas03/data_audio/033.방송콘텐츠_한국어-유럽어_통·번역_음성_데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_한-영(영국)_한국어음성_연예공연/et_k_003_190_127_0343.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00007.wav	그렇지 웃으니까 내가 기분이 다 좋다 너는 어때	/nas03/data_audio/001.자유대화 음성(일반남여)/Training/[원천]1.AI챗봇_5/일반남여_일반통합14_F_1552754567_40_수도권_실내/일반남여_일반통합14_F_1552754567_40_수도권_실내_22632.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00008.wav	오늘의 주인공은 바로	/nas03/data_audio/033.방송콘텐츠_한국어-유럽어_통·번역_음성_데이터/01-1.정식개방데이터/Training/01.원천데이터/TS_한-영(영국)_한국어음성_예능오락/vr_m_001_369_001_0004.wav
/nas02/geonhui83/stt/new_citirinet/ko_citrinet_ngc/data/wav_calib/calib_00009.wav	네 감사합니다	/nas03/data_audio/007.저음질_전화망_음성인식_데이터/wav/training/D01/J020/S022701/0009.wav
